scenario,severity,repeat,seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_f1_change_vs_clean,seconds
relative_gaussian_noise,0.02,16,162513,0.2288888888888889,0.5378210304332498,0.30269763917974146,0.2699634052480902,-0.5944452239371713,0.22990805799997815
relative_gaussian_noise,0.02,17,172513,0.2222222222222222,0.534292140297024,0.30815601831252737,0.2614196989584401,-0.5889868448043853,0.23368308700003126
relative_gaussian_noise,0.02,18,182513,0.2288888888888889,0.5355207402243222,0.31827819507109656,0.2731036819607754,-0.5788646680458162,0.22952527899997222
relative_gaussian_noise,0.02,19,192513,0.23666666666666666,0.5503886212812737,0.32095937908705696,0.28094123643490304,-0.5761834840298558,0.23317114799999672
relative_gaussian_noise,0.05,0,2543,0.17,0.5128047024404293,0.24326171332287364,0.17299240523690243,-0.6538811497940391,0.23372171699998034
relative_gaussian_noise,0.05,1,12543,0.16111111111111112,0.49406465723883963,0.23421464620338642,0.16186286609160813,-0.6629282169135263,0.2428144439999187
relative_gaussian_noise,0.05,2,22543,0.16,0.4964294431986008,0.24935228876479523,0.1619525167747168,-0.6477905743521175,0.23534753900003125
relative_gaussian_noise,0.05,3,32543,0.16,0.5151402935117982,0.24912325390873336,0.156418580772527,-0.6480196092081794,0.23946098999999776
relative_gaussian_noise,0.05,4,42543,0.16444444444444445,0.5138014993441028,0.2530690370585065,0.16506549286994282,-0.6440738260584062,0.23930084999983592
relative_gaussian_noise,0.05,5,52543,0.16777777777777778,0.5073606643600809,0.24517396041552075,0.1715566485723515,-0.651968902701392,0.24540314099999705
relative_gaussian_noise,0.05,6,62543,0.16111111111111112,0.5038317742238551,0.23734819000307125,0.15951602645028243,-0.6597946731138414,0.2499422850000883
relative_gaussian_noise,0.05,7,72543,0.16333333333333333,0.49827881864749957,0.2470453258025917,0.1665105226823408,-0.650097537314321,0.2412502580000364
relative_gaussian_noise,0.05,8,82543,0.17333333333333334,0.49241306069551444,0.23205789288644085,0.18224513978410617,-0.6650849702304719,0.240137501999925
relative_gaussian_noise,0.05,9,92543,0.1688888888888889,0.5104094448478858,0.2589516177343805,0.1749758564713079,-0.6381912453825322,0.24635898600013206
relative_gaussian_noise,0.05,10,102543,0.17555555555555555,0.5047475717755233,0.24498195276332804,0.18496799075655027,-0.6521609103535847,0.24056932899998174
relative_gaussian_noise,0.05,11,112543,0.16333333333333333,0.49557203542371664,0.23848293392474226,0.16571444862596238,-0.6586599291921704,0.23525275799988776
relative_gaussian_noise,0.05,12,122543,0.16,0.5026663933029999,0.24432522461068215,0.15930632985459742,-0.6528176385062305,0.24699442700011787
relative_gaussian_noise,0.05,13,132543,0.15666666666666668,0.5078773516153334,0.24745961752331178,0.15241541693346364,-0.6496832455936009,0.2439961800000674
relative_gaussian_noise,0.05,14,142543,0.16111111111111112,0.489304613686535,0.24015624811022296,0.16464716631559162,-0.6569866150066898,0.2394771919998675
relative_gaussian_noise,0.05,15,152543,0.16444444444444445,0.5075645492397036,0.24143080460688768,0.1647776859570009,-0.655712058510025,0.2387418550001712
relative_gaussian_noise,0.05,16,162543,0.17,0.5053378756643416,0.24256595038434658,0.17524025351347153,-0.6545769127325661,0.2466526960001829
relative_gaussian_noise,0.05,17,172543,0.15444444444444444,0.49348958020680284,0.2319835786712629,0.15067181099533591,-0.6651592844456498,0.23878428499983784
relative_gaussian_noise,0.05,18,182543,0.16666666666666666,0.5028349773201815,0.24292499745708518,0.17001983978156307,-0.6542178656598275,0.2383489430001191
relative_gaussian_noise,0.05,19,192543,0.17777777777777778,0.5116685164079663,0.2484894227261625,0.18723243126887118,-0.6486534403907502,0.24092339700018783
relative_gaussian_noise,0.1,0,2593,0.14666666666666667,0.49044207646338833,0.20662393162393164,0.1331025641025641,-0.690518931492981,0.24206847300001755
relative_gaussian_noise,0.1,1,12593,0.14555555555555555,0.4942837689752439,0.2149633291701714,0.13193150944389584,-0.6821795339467414,0.24796731299989005
relative_gaussian_noise,0.1,2,22593,0.14666666666666667,0.4896186928065551,0.21962787330244238,0.1357378606447959,-0.6775149898144703,0.24179640700003802
relative_gaussian_noise,0.1,3,32593,0.14777777777777779,0.49972780705559233,0.2269009407885766,0.13582254621166548,-0.6702419223283361,0.24921354499997506
relative_gaussian_noise,0.1,4,42593,0.14222222222222222,0.48907408740730074,0.20770702435904492,0.12583012378881198,-0.6894358387578678,0.25004962299999534
relative_gaussian_noise,0.1,5,52593,0.14333333333333334,0.487362824342801,0.21769207095294052,0.13051803356151181,-0.6794507921639722,0.24120102699998824
relative_gaussian_noise,0.1,6,62593,0.15555555555555556,0.4931780545755634,0.21171357156974754,0.14863074694866385,-0.6854292915471651,0.24953428800017718
