scenario,severity,repeat,class_label,class_name,precision,recall,f1,support
random_missing_timestamps,0.05,18,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.05,19,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.05,19,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.05,19,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.05,19,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,0,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,0,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,0,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,0,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,1,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,1,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,1,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,1,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,2,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,2,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,2,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,2,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,3,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,3,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,3,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,3,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,4,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,4,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,4,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,4,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,5,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,5,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,5,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,5,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,6,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,6,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,6,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,6,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,7,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,7,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,7,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,7,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,8,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,8,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,8,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,8,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,9,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,9,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,9,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,9,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,10,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,10,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,10,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,10,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,11,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,11,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,11,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,11,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,12,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,12,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,12,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,12,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,13,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,13,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,13,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,13,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,14,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,14,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,14,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,14,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,15,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,15,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,15,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,15,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,16,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,16,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,16,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,16,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,17,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,17,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,17,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,17,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,18,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,18,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,18,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,18,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.1,19,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.1,19,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.1,19,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.1,19,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.2,0,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.2,0,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.2,0,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.2,0,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.2,1,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.2,1,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.2,1,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.2,1,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.2,2,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.2,2,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.2,2,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.2,2,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.2,3,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.2,3,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.2,3,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.2,3,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.2,4,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.2,4,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.2,4,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.2,4,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.2,5,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.2,5,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.2,5,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.2,5,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.2,6,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.2,6,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.2,6,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.2,6,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.2,7,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.2,7,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.2,7,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.2,7,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.2,8,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.2,8,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.2,8,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
random_missing_timestamps,0.2,8,4,Low-temperature overheating,0.8131868131868132,0.9024390243902439,0.8554913294797688,82
random_missing_timestamps,0.2,9,1,Normal mode,0.9834254143646409,0.9740082079343365,0.9786941580756013,731
random_missing_timestamps,0.2,9,2,Partial discharge,0.9210526315789473,0.9210526315789473,0.9210526315789473,38
random_missing_timestamps,0.2,9,3,Low energy discharge,0.851063829787234,0.8163265306122449,0.8333333333333334,49
